media_id,status,score
2966,COMPLETED,9
5341,COMPLETED,8
6007,COMPLETED,7
21647,COMPLETED,7
97932,COMPLETED,3
19369,COMPLETED,6
20832,COMPLETED,5
98437,COMPLETED,6
101474,COMPLETED,7
21305,COMPLETED,3
101083,COMPLETED,5
21745,COMPLETED,8
20607,COMPLETED,8
21732,COMPLETED,8
329,COMPLETED,7
98549,COMPLETED,5
20807,COMPLETED,8
21565,COMPLETED,7
13601,COMPLETED,8
19315,COMPLETED,1
21355,COMPLETED,8
6675,COMPLETED,8
21517,COMPLETED,3
20955,COMPLETED,5
21700,COMPLETED,5
87539,COMPLETED,7
20556,COMPLETED,6
97903,COMPLETED,7
13759,COMPLETED,7
205,COMPLETED,8
21334,COMPLETED,6
21201,COMPLETED,4
101291,COMPLETED,8
199,COMPLETED,9
21269,COMPLETED,5
20590,COMPLETED,7
98629,COMPLETED,6
21184,COMPLETED,7
16498,COMPLETED,8
18397,COMPLETED,6
20958,COMPLETED,8
99147,COMPLETED,7
104578,COMPLETED,8
99634,COMPLETED,7
13125,COMPLETED,9
20923,COMPLETED,9
21518,COMPLETED,8
99255,COMPLETED,8
100773,COMPLETED,9
99420,COMPLETED,6
21838,COMPLETED,7
19775,COMPLETED,5
20762,COMPLETED,6
99426,COMPLETED,10
3588,COMPLETED,7
20547,COMPLETED,6
20057,COMPLETED,9
20666,COMPLETED,8
99424,COMPLETED,6
9253,COMPLETED,10
21127,COMPLETED,8
11577,COMPLETED,8
21624,COMPLETED,8
10863,COMPLETED,8
18277,COMPLETED,5
25,COMPLETED,7
849,COMPLETED,7
11757,COMPLETED,7
100183,COMPLETED,6
20594,COMPLETED,7
100182,COMPLETED,5
100762,COMPLETED,1
13333,COMPLETED,6
12445,COMPLETED,5
99263,COMPLETED,8
2001,COMPLETED,8
101280,COMPLETED,9
20629,COMPLETED,7
20630,COMPLETED,7
20605,COMPLETED,6
20850,COMPLETED,6
100240,COMPLETED,4
102351,COMPLETED,4
14227,COMPLETED,8
523,COMPLETED,8
4224,COMPLETED,8
6,COMPLETED,7
12883,COMPLETED,5
101506,COMPLETED,6
98514,COMPLETED,8
10798,COMPLETED,6
21696,COMPLETED,8
10162,COMPLETED,9
21827,COMPLETED,8
99578,COMPLETED,9
20966,COMPLETED,7
21613,COMPLETED,7
4548,COMPLETED,8
100483,COMPLETED,6
98444,COMPLETED,10
104459,COMPLETED,9
106509,COMPLETED,8
108511,COMPLETED,8
103256,COMPLETED,5
103139,COMPLETED,6
108623,COMPLETED,7
16001,COMPLETED,7
108631,COMPLETED,7
855,COMPLETED,5
12355,COMPLETED,7
572,COMPLETED,7
10408,COMPLETED,9
20981,COMPLETED,8
513,COMPLETED,7
512,COMPLETED,7
21093,COMPLETED,8
1654,COMPLETED,5
20811,COMPLETED,7
108942,COMPLETED,7
