id,format,season,season_year,episodes,genres,source,tags,studios
21,TV,FALL,1999.0,1035.0,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""DRAMA"", ""FANTASY""]",MANGA,"[""PIRATES"", ""SHOUNEN"", ""ENSEMBLE CAST"", ""SUPER POWER"", ""TRAVEL"", ""MALE PROTAGONIST"", ""SHIPS"", ""FOUND FAMILY"", ""CONSPIRACY"", ""SLAPSTICK"", ""TIME SKIP"", ""CRIME"", ""TRAGEDY"", ""SLAVERY"", ""POLITICS"", ""WAR"", ""SWORDPLAY"", ""HENSHIN"", ""LOST CIVILIZATION"", ""ANTI-HERO"", ""FUGITIVE"", ""ANIMALS"", ""PRIMARILY ADULT CAST"", ""SHAPESHIFTING"", ""SKELETON"", ""CYBORG"", ""ROBOTS"", ""SUPER ROBOT"", ""FOOD"", ""MEDICINE"", ""DRAGONS"", ""GODS"", ""SAMURAI"", ""ANACHRONISM"", ""ESPIONAGE"", ""GUNS"", ""PRIMARILY MALE CAST"", ""NINJA"", ""COMING OF AGE"", ""KUUDERE"", ""ASSASSINS"", ""MERMAID"", ""BATTLE ROYALE"", ""TIME MANIPULATION"", ""DINOSAURS"", ""DRUGS"", ""BODY SWAPPING"", ""TRAINS"", ""ADOPTION"", ""TRANSGENDER"", ""TANNED SKIN"", ""ZOMBIE""]","[""TOEI ANIMATION""]"
22,TV,FALL,2001.0,178.0,"[""ACTION"", ""COMEDY"", ""SPORTS""]",MANGA,"[""TENNIS"", ""MALE PROTAGONIST"", ""PRIMARILY MALE CAST"", ""SHOUNEN"", ""ANTI-HERO"", ""SCHOOL"", ""PRIMARILY CHILD CAST"", ""FOREIGN"", ""SUPER POWER""]","[""PRODUCTION I.G""]"
23,TV,FALL,2004.0,12.0,"[""ACTION"", ""SPORTS""]",MANGA,"[""BOXING"", ""SHOUNEN""]","[""TOEI ANIMATION""]"
24,TV,FALL,2004.0,26.0,"[""COMEDY"", ""ROMANCE"", ""SLICE OF LIFE""]",MANGA,"[""ENSEMBLE CAST"", ""LOVE TRIANGLE"", ""DELINQUENTS"", ""SCHOOL"", ""PARODY"", ""TSUNDERE"", ""HETEROSEXUAL"", ""SHOUNEN"", ""EPISODIC"", ""KUUDERE"", ""PRIMARILY TEEN CAST"", ""BUTLER"", ""SUPER POWER""]","[""STUDIO COMET""]"
25,TV,FALL,2004.0,24.0,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""ECCHI"", ""SCI-FI""]",MANGA,"[""POST-APOCALYPTIC"", ""SLAPSTICK"", ""GUNS"", ""SURVIVAL"", ""ANTI-HERO"", ""ARTIFICIAL INTELLIGENCE"", ""TERRORISM"", ""SHOUNEN"", ""GANGS"", ""WAR"", ""MILITARY"", ""SLAVERY""]","[""GONZO""]"
26,TV,SPRING,2003.0,22.0,"[""ACTION"", ""DRAMA"", ""PSYCHOLOGICAL"", ""SCI-FI""]",ORIGINAL,"[""DYSTOPIAN"", ""CYBERPUNK"", ""PHILOSOPHY"", ""PRIMARILY ADULT CAST"", ""SURVIVAL"", ""TRAGEDY"", ""URBAN"", ""PRIMARILY MALE CAST"", ""POST-APOCALYPTIC"", ""MAFIA"", ""DENPA"", ""GANGS"", ""NOIR"", ""MALE PROTAGONIST"", ""CYBORG"", ""WAR"", ""GORE"", ""RAPE"", ""SUICIDE"", ""HETEROSEXUAL"", ""CRIME"", ""DISABILITY"", ""AFTERLIFE"", ""CONSPIRACY"", ""CULT"", ""DRUGS"", ""AMPUTATION""]","[""MADHOUSE""]"
27,TV,SPRING,2005.0,24.0,"[""ACTION"", ""DRAMA"", ""HORROR"", ""SCI-FI"", ""SUPERNATURAL""]",LIGHT_NOVEL,"[""VAMPIRE"", ""GORE"", ""GUNS"", ""MALE PROTAGONIST"", ""ANACHRONISM"", ""ARTIFICIAL INTELLIGENCE"", ""ROBOTS"", ""NUN""]","[""GONZO""]"
28,TV,FALL,2004.0,69.0,"[""COMEDY""]",MANGA,"[""FOOD"", ""META"", ""SURREAL COMEDY"", ""PARODY"", ""SHOUNEN"", ""MALE PROTAGONIST"", ""TIME MANIPULATION"", ""ISEKAI"", ""MAGIC""]","[""SUNRISE""]"
29,TV,FALL,2004.0,26.0,"[""ACTION"", ""SCI-FI""]",MANGA,"[""SHIPS"", ""MILITARY"", ""SEINEN"", ""PRIMARILY ADULT CAST"", ""HISTORICAL"", ""PRIMARILY MALE CAST"", ""WAR"", ""TIME MANIPULATION""]","[""STUDIO DEEN""]"
30,TV,FALL,1995.0,26.0,"[""ACTION"", ""DRAMA"", ""MECHA"", ""MYSTERY"", ""PSYCHOLOGICAL"", ""SCI-FI""]",ORIGINAL,"[""PHILOSOPHY"", ""COMING OF AGE"", ""TRAGEDY"", ""ANGELS"", ""DYSTOPIAN"", ""COSMIC HORROR"", ""DENPA"", ""POST-APOCALYPTIC"", ""SUPER ROBOT"", ""PRIMARILY TEEN CAST"", ""KAIJU"", ""MALE PROTAGONIST"", ""CONSPIRACY"", ""ALIENS"", ""BODY HORROR"", ""MYTHOLOGY"", ""REAL ROBOT"", ""MILITARY"", ""TRAINS"", ""BISEXUAL"", ""ANTI-HERO"", ""POLITICS"", ""FEMALE HAREM"", ""TSUNDERE"", ""KUUDERE"", ""GORE"", ""ESPIONAGE"", ""NUDITY"", ""CLONE"", ""EPISODIC"", ""LGBTQ+ THEMES"", ""VIDEO GAMES""]","[""GAINAX"", ""TATSUNOKO PRODUCTION""]"
31,MOVIE,WINTER,1997.0,1.0,"[""DRAMA"", ""MECHA"", ""PSYCHOLOGICAL"", ""SCI-FI""]",ORIGINAL,"[""TRAGEDY"", ""PRIMARILY TEEN CAST"", ""DYSTOPIAN"", ""MILITARY"", ""MALE PROTAGONIST"", ""ACHRONOLOGICAL ORDER"", ""COMING OF AGE"", ""PHILOSOPHY"", ""POST-APOCALYPTIC"", ""DENPA"", ""CONSPIRACY"", ""KAIJU"", ""POLITICS"", ""GORE"", ""TSUNDERE"", ""NUDITY"", ""KUUDERE""]","[""GAINAX"", ""PRODUCTION I.G""]"
32,MOVIE,SUMMER,1997.0,1.0,"[""ACTION"", ""DRAMA"", ""MECHA"", ""PSYCHOLOGICAL"", ""SCI-FI""]",ORIGINAL,"[""PHILOSOPHY"", ""TRAGEDY"", ""DYSTOPIAN"", ""COMING OF AGE"", ""POST-APOCALYPTIC"", ""COSMIC HORROR"", ""META"", ""DENPA"", ""CONSPIRACY"", ""GODS"", ""BODY HORROR"", ""MALE PROTAGONIST"", ""SUPER ROBOT"", ""GORE"", ""AFTERLIFE"", ""MYTHOLOGY"", ""ROBOTS"", ""FEMALE PROTAGONIST"", ""KAIJU"", ""RELIGION"", ""MASTURBATION"", ""NUDITY"", ""PRIMARILY TEEN CAST"", ""TSUNDERE"", ""POLITICS"", ""SPACE"", ""CLONE""]","[""GAINAX"", ""PRODUCTION I.G""]"
33,TV,FALL,1997.0,25.0,"[""ACTION"", ""ADVENTURE"", ""DRAMA"", ""FANTASY"", ""HORROR"", ""SUPERNATURAL""]",MANGA,"[""TRAGEDY"", ""SEINEN"", ""SWORDPLAY"", ""WAR"", ""MALE PROTAGONIST"", ""COSMIC HORROR"", ""GORE"", ""MILITARY"", ""ANTI-HERO"", ""PHILOSOPHY"", ""FOUND FAMILY"", ""DEMONS"", ""PRIMARILY ADULT CAST"", ""REVENGE"", ""HETEROSEXUAL"", ""SKELETON"", ""RAPE"", ""POLITICS"", ""LOVE TRIANGLE"", ""COMING OF AGE"", ""NETORARE"", ""ARCHERY"", ""PRIMARILY MALE CAST"", ""TANNED SKIN"", ""TOMBOY"", ""FUGITIVE"", ""NUDITY"", ""TRAVEL"", ""PARKOUR""]","[""OLM""]"
43,MOVIE,FALL,1995.0,1.0,"[""ACTION"", ""PSYCHOLOGICAL"", ""SCI-FI""]",MANGA,"[""CYBERPUNK"", ""ARTIFICIAL INTELLIGENCE"", ""PHILOSOPHY"", ""URBAN"", ""POLICE"", ""ROBOTS"", ""CYBORG"", ""FEMALE PROTAGONIST"", ""PRIMARILY ADULT CAST"", ""SEINEN"", ""NOIR"", ""DYSTOPIAN"", ""GUNS"", ""CRIME"", ""ESPIONAGE"", ""NUDITY"", ""BISEXUAL"", ""CGI"", ""GORE""]","[""PRODUCTION I.G""]"
44,OVA,WINTER,1999.0,4.0,"[""ACTION"", ""DRAMA"", ""ROMANCE""]",MANGA,"[""SAMURAI"", ""TRAGEDY"", ""HISTORICAL"", ""SWORDPLAY"", ""PHILOSOPHY"", ""MALE PROTAGONIST"", ""REVENGE"", ""HETEROSEXUAL"", ""GORE"", ""PRIMARILY ADULT CAST"", ""SHOUNEN""]","[""STUDIO DEEN""]"
45,TV,WINTER,1996.0,94.0,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""DRAMA"", ""ROMANCE""]",MANGA,"[""SWORDPLAY"", ""MARTIAL ARTS"", ""SAMURAI"", ""HISTORICAL"", ""HETEROSEXUAL"", ""SHOUNEN"", ""MALE PROTAGONIST"", ""POLITICS"", ""TSUNDERE"", ""TRAVEL""]","[""STUDIO GALLOP"", ""STUDIO DEEN""]"
46,MOVIE,FALL,1997.0,1.0,"[""ACTION"", ""DRAMA""]",MANGA,"[""HISTORICAL"", ""SAMURAI"", ""SWORDPLAY"", ""SHOUNEN"", ""MALE PROTAGONIST"", ""MARTIAL ARTS"", ""REVENGE""]","[""STUDIO GALLOP""]"
47,MOVIE,SUMMER,1988.0,1.0,"[""ACTION"", ""ADVENTURE"", ""HORROR"", ""PSYCHOLOGICAL"", ""SCI-FI"", ""SUPERNATURAL""]",MANGA,"[""CYBERPUNK"", ""POST-APOCALYPTIC"", ""DYSTOPIAN"", ""SUPER POWER"", ""MALE PROTAGONIST"", ""TRAGEDY"", ""URBAN"", ""MOTORCYCLES"", ""ANTI-HERO"", ""SEINEN"", ""BODY HORROR"", ""GANGS"", ""GORE"", ""MILITARY"", ""PHILOSOPHY"", ""COSMIC HORROR"", ""CONSPIRACY"", ""CRIME"", ""URBAN FANTASY"", ""POLITICS"", ""NUDITY"", ""MYTHOLOGY"", ""ALIENS"", ""DELINQUENTS""]","[""TOKYO MOVIE SHINSHA""]"
48,TV,SPRING,2002.0,26.0,"[""ADVENTURE"", ""FANTASY"", ""MYSTERY"", ""SCI-FI""]",ORIGINAL,"[""VIRTUAL WORLD"", ""VIDEO GAMES"", ""ANTI-HERO"", ""ISEKAI"", ""MAGIC"", ""AMNESIA"", ""GENDER BENDING"", ""DISSOCIATIVE IDENTITIES"", ""TANNED SKIN"", ""LGBTQ+ THEMES"", ""SUPER POWER"", ""ENSEMBLE CAST"", ""TRAGEDY"", ""CGI""]","[""BEE TRAIN""]"
49,OVA,WINTER,1993.0,5.0,"[""COMEDY"", ""DRAMA"", ""ROMANCE"", ""SUPERNATURAL""]",MANGA,"[""GODS"", ""URBAN FANTASY"", ""HETEROSEXUAL"", ""PRIMARILY FEMALE CAST"", ""MAGIC"", ""COLLEGE"", ""SEINEN"", ""MALE PROTAGONIST"", ""KUUDERE"", ""MOTORCYCLES""]","[""AIC""]"
