id,status,score,progress,completedAt,media_id
224861623,COMPLETED,7,1,10-29-2021,2890
232933526,COMPLETED,7,109,12-10-2021,967
233207489,COMPLETED,10,12,07-19-2022,140960
238806555,COMPLETED,9,11,03-20-2022,142329
239761360,COMPLETED,7,43,12-25-2021,1356
239769445,COMPLETED,10,23,03-28-2022,113717
239941086,COMPLETED,6,3,01-08-2022,1357
250047310,COMPLETED,7,12,04-27-2022,132405
253174812,COMPLETED,7,1,02-14-2022,4106
254598887,COMPLETED,6,1,03-20-2022,6372
254598897,COMPLETED,6,1,03-20-2022,6637
260333776,COMPLETED,5,1,03-24-2022,14189
266867579,COMPLETED,7,12,07-11-2022,141014
290329879,COMPLETED,7,12,09-13-2022,21861
59107607,PLANNING,0,0,,20755
59107611,PLANNING,0,0,,21078
59107612,PLANNING,0,0,,20935
59107631,PLANNING,0,0,,269
59107636,PLANNING,0,0,,1050
59107647,PLANNING,0,0,,21311
59107652,PLANNING,0,0,,13349
59107655,PLANNING,0,0,,2167
59107672,PLANNING,0,0,,20031
59107679,PLANNING,0,0,,8915
59107680,PLANNING,0,0,,2025
59107724,PLANNING,0,0,,21123
59107726,PLANNING,0,0,,20920
59107728,PLANNING,0,0,,6746
59107732,PLANNING,0,0,,6702
59107758,PLANNING,0,0,,21643
59107765,PLANNING,0,0,,97766
59107769,PLANNING,0,0,,467
59107792,PLANNING,0,0,,267
59107794,PLANNING,0,0,,263
59107796,PLANNING,0,0,,6895
59107804,PLANNING,0,0,,20881
59107812,PLANNING,0,0,,11617
59107825,PLANNING,0,0,,101316
59107826,PLANNING,0,0,,101004
59107827,PLANNING,0,0,,20527
59107849,PLANNING,0,0,,98314
59107856,PLANNING,0,0,,99468
59107867,PLANNING,0,0,,12031
59107886,PLANNING,0,0,,15379
59107887,PLANNING,0,0,,237
59107895,PLANNING,0,0,,97
59107896,PLANNING,0,0,,21858
59107897,PLANNING,0,0,,17265
59107904,PLANNING,0,0,,14513
59107905,PLANNING,0,0,,76
59107910,PLANNING,0,0,,20708
59107911,PLANNING,0,0,,20537
59107923,PLANNING,0,0,,21050
59107924,PLANNING,0,0,,15315
59107929,PLANNING,0,0,,21306
59107935,PLANNING,0,0,,16067
59107938,PLANNING,0,0,,1735
59107939,PLANNING,0,0,,13585
59107940,PLANNING,0,0,,12467
59107947,PLANNING,0,0,,21455
59107949,PLANNING,0,0,,10165
59107950,PLANNING,0,0,,18897
59107987,PLANNING,0,0,,19221
59107997,PLANNING,0,0,,101368
59108006,PLANNING,0,0,,97980
59108009,PLANNING,0,0,,21049
59108011,PLANNING,0,0,,13599
59108014,PLANNING,0,0,,45
59108017,PLANNING,0,0,,99507
59108027,PLANNING,0,0,,1827
59108029,PLANNING,0,0,,8675
59108030,PLANNING,0,0,,20496
59108042,PLANNING,0,0,,20678
59108044,PLANNING,0,0,,20812
59108052,PLANNING,0,0,,20972
59108053,PLANNING,0,0,,21860
59108057,PLANNING,0,0,,5958
59108061,PLANNING,0,0,,21499
59108080,PLANNING,0,0,,20704
59108091,PLANNING,0,0,,4654
59108104,PLANNING,0,0,,98202
59108107,PLANNING,0,0,,12029
59108113,PLANNING,0,0,,21038
59108118,PLANNING,0,0,,20729
59108121,PLANNING,0,0,,20698
59108130,PLANNING,0,0,,18677
59108132,PLANNING,0,0,,14075
61643497,PLANNING,0,0,,101249
70246671,PLANNING,0,0,,245
79967861,PLANNING,0,0,,20789
83595573,PLANNING,0,0,,6213
83595611,PLANNING,0,0,,19
83595657,PLANNING,0,0,,15051
83596160,PLANNING,0,0,,6956
83596392,PLANNING,0,0,,10800
83598127,PLANNING,0,0,,106286
83599130,PLANNING,0,0,,11665
83599148,PLANNING,0,0,,7785
83603480,PLANNING,0,0,,16417
83603804,PLANNING,0,0,,10232
83729335,PLANNING,0,0,,99698
83729354,PLANNING,0,0,,15227
133011533,PLANNING,0,0,,112357
133014590,PLANNING,0,0,,21366
133017641,PLANNING,0,0,,10793
133019070,PLANNING,0,0,,13655
133367429,PLANNING,0,0,,2476
133385998,PLANNING,0,0,,1690
133500294,PLANNING,0,0,,15771
133503334,PLANNING,0,0,,21804
133504692,PLANNING,0,0,,9289
133505177,PLANNING,0,0,,12189
133515506,PLANNING,0,0,,14813
133520223,PLANNING,0,0,,1943
133721283,PLANNING,0,0,,160
138763349,PLANNING,0,0,,101380
139316390,PLANNING,0,0,,20709
139504436,PLANNING,0,0,,2418
167082631,PLANNING,0,0,,129188
180792297,PLANNING,0,0,,131518
181763138,PLANNING,0,0,,131680
185041485,PLANNING,0,0,,127230
190284837,PLANNING,0,0,,98448
190288001,PLANNING,0,0,,103047
203670700,PLANNING,0,0,,135865
208293167,PLANNING,0,0,,136430
208403511,PLANNING,0,0,,105334
211161323,PLANNING,0,0,,136804
216567979,PLANNING,0,0,,137819
220489499,PLANNING,0,0,,138565
222137567,PLANNING,0,0,,97888
224861036,PLANNING,0,0,,392
224861402,PLANNING,0,0,,12531
224861511,PLANNING,0,0,,17909
224861550,PLANNING,0,0,,2402
225516598,PLANNING,0,0,,139498
228509174,PLANNING,0,0,,249
228509233,PLANNING,0,0,,570
228509398,PLANNING,0,0,,369
228510438,PLANNING,0,0,,759
228511983,PLANNING,0,0,,26
228798289,PLANNING,0,0,,104460
228821703,PLANNING,0,0,,3002
230952339,PLANNING,0,0,,140439
231809609,PLANNING,0,0,,140596
238119032,PLANNING,0,0,,141902
238960654,PLANNING,0,0,,142343
240548571,PLANNING,0,0,,133898
244726213,PLANNING,0,0,,143337
244816113,PLANNING,0,0,,1482
244816611,PLANNING,0,0,,107693
253109721,PLANNING,0,0,,145139
255030377,PLANNING,0,0,,145665
255336204,PLANNING,0,0,,145728
262753802,PLANNING,0,0,,146984
263408802,PLANNING,0,0,,111322
272312451,PLANNING,0,0,,149118
274317288,PLANNING,0,0,,150075
277849917,PLANNING,0,0,,151040
280761201,PLANNING,0,0,,139630
280761206,PLANNING,0,0,,142838
282530340,PLANNING,0,0,,1462
283773258,PLANNING,0,0,,116674
293450732,PLANNING,0,0,,154364
295335420,PLANNING,0,0,,154745
59107619,CURRENT,0,0,,20722
59107774,CURRENT,0,70,,918
59107809,CURRENT,0,3,,1852
59107962,CURRENT,8,950,,21
139670303,CURRENT,0,0,,124410
175499975,CURRENT,0,0,,130592
181710246,CURRENT,0,0,,131573
187680494,CURRENT,0,0,,132351
193210014,CURRENT,0,0,,114745
193912356,CURRENT,0,0,,133844
241920532,CURRENT,0,0,,142984
261006846,CURRENT,0,0,,146722
270301209,CURRENT,0,9,,137281
290073739,CURRENT,0,0,,141391
290073784,CURRENT,0,0,,143270
290073815,CURRENT,0,0,,129201
