id,status,score,progress,completedAt,media_id
59107787,COMPLETED,6,13,02-01-2018,20849
59107788,COMPLETED,7,12,07-27-2018,99699
59107789,COMPLETED,8,12,12-29-2018,102977
59107791,COMPLETED,9,12,11-04-2018,100922
59107795,COMPLETED,7,12,04-14-2020,99748
59107797,COMPLETED,1,1,03-23-2019,413
59107799,COMPLETED,7,12,03-03-2019,101351
59107801,COMPLETED,7,13,01-22-2018,15809
59107802,COMPLETED,8,13,01-04-2018,100977
59107803,COMPLETED,7,1,12-28-2018,105662
59107805,COMPLETED,6,13,,270
59107806,COMPLETED,8,10,12-22-2017,777
59107807,COMPLETED,7,3,04-04-2018,11077
59107811,COMPLETED,7,11,03-10-2022,5630
59107813,COMPLETED,5,12,04-10-2020,8074
59107814,COMPLETED,7,13,12-03-2018,20634
59107819,COMPLETED,9,1,04-16-2018,578
59107820,COMPLETED,8,12,01-14-2018,98707
59107821,COMPLETED,9,1,03-26-2019,431
59107822,COMPLETED,9,148,,11061
59107823,COMPLETED,7,12,03-24-2019,98596
59107824,COMPLETED,8,11,01-02-2018,97922
59107828,COMPLETED,3,6,08-29-2020,101970
59107829,COMPLETED,7,12,05-26-2020,10357
59107830,COMPLETED,7,13,09-04-2018,21033
59107831,COMPLETED,9,26,04-09-2019,14719
59107832,COMPLETED,8,39,07-24-2019,21450
59107833,COMPLETED,8,39,09-23-2019,102883
59107834,COMPLETED,9,24,04-18-2019,20474
59107835,COMPLETED,9,24,04-22-2019,20799
59107836,COMPLETED,5,12,09-17-2020,21291
59107837,COMPLETED,7,12,04-24-2021,12413
59107838,COMPLETED,6,12,11-09-2019,20951
59107840,COMPLETED,6,12,07-04-2019,98443
59107841,COMPLETED,10,13,03-13-2018,5680
59107842,COMPLETED,9,1,09-14-2020,9617
59107843,COMPLETED,10,26,05-18-2018,7791
59107844,COMPLETED,9,1,,9734
59107845,COMPLETED,5,9,03-15-2018,9203
59107846,COMPLETED,9,1,,6862
59107847,COMPLETED,5,7,03-15-2018,7017
59107848,COMPLETED,8,12,04-06-2019,101921
59107852,COMPLETED,6,12,10-29-2020,8525
59107853,COMPLETED,5,13,05-13-2022,10372
59107855,COMPLETED,4,12,10-17-2020,20553
59107857,COMPLETED,6,12,04-27-2019,667
59107858,COMPLETED,10,12,09-13-2020,6594
59107861,COMPLETED,6,12,01-09-2018,20727
59107862,COMPLETED,7,12,02-12-2018,97886
59107863,COMPLETED,9,25,12-05-2017,33
59107864,COMPLETED,7,24,11-25-2017,18679
59107865,COMPLETED,9,1,12-29-2018,21519
59107866,COMPLETED,9,1,06-03-2019,99750
59107870,COMPLETED,9,24,,20623
59107871,COMPLETED,7,12,10-08-2019,21421
59107873,COMPLETED,8,13,,21776
59107874,COMPLETED,7,12,10-28-2021,107717
59107875,COMPLETED,8,1,,98580
59107876,COMPLETED,9,1,,20954
59107877,COMPLETED,8,12,01-21-2018,98385
59107878,COMPLETED,7,13,03-26-2019,11887
59107879,COMPLETED,8,12,03-20-2019,21457
59107880,COMPLETED,10,10,11-25-2017,21202
59107881,COMPLETED,10,10,11-25-2017,21699
59107882,COMPLETED,7,1,01-07-2018,97996
59107883,COMPLETED,8,1,,21574
59107884,COMPLETED,9,1,04-09-2020,102976
59107885,COMPLETED,7,12,01-12-2020,98506
59107888,COMPLETED,7,12,,21196
59107889,COMPLETED,5,12,04-07-2019,98449
59107892,COMPLETED,7,12,11-11-2019,21701
59107893,COMPLETED,6,1,02-13-2018,10893
59107894,COMPLETED,7,10,02-17-2018,19703
59107898,COMPLETED,5,24,10-10-2019,1887
59107900,COMPLETED,5,12,03-13-2019,17247
59107901,COMPLETED,10,13,01-16-2018,97986
59107906,COMPLETED,8,12,05-15-2022,9756
59107907,COMPLETED,7,12,01-05-2020,100715
59107908,COMPLETED,9,24,04-08-2018,98436
59107909,COMPLETED,8,3,02-03-2018,21688
59107912,COMPLETED,7,12,08-08-2020,14833
59107915,COMPLETED,8,13,12-30-2018,100298
59107916,COMPLETED,8,12,,99390
59107918,COMPLETED,7,26,07-01-2020,10620
59107919,COMPLETED,7,12,07-30-2019,98439
59107920,COMPLETED,8,12,01-17-2018,21507
59107921,COMPLETED,10,13,04-04-2019,101338
59107925,COMPLETED,8,26,01-12-2021,17074
59107926,COMPLETED,8,1,04-22-2019,164
59107927,COMPLETED,5,26,04-22-2020,8917
59107928,COMPLETED,7,1,,14817
59107930,COMPLETED,9,26,01-04-2019,457
59107931,COMPLETED,9,1,01-10-2019,20526
59107932,COMPLETED,9,10,01-13-2019,20595
59107933,COMPLETED,9,10,01-06-2019,20751
59107934,COMPLETED,8,1,01-13-2019,20752
59107936,COMPLETED,7,13,10-19-2019,21051
59107937,COMPLETED,7,220,11-30-2019,20
59107941,COMPLETED,7,1,05-05-2018,597
59107942,COMPLETED,5,1,03-23-2019,99939
59107943,COMPLETED,7,26,11-24-2018,30
59107944,COMPLETED,7,1,11-24-2018,32
59107945,COMPLETED,7,10,02-28-2018,99726
59107946,COMPLETED,6,1,02-28-2018,100684
59107948,COMPLETED,8,24,11-25-2017,1210
59107951,COMPLETED,8,11,10-22-2020,11597
59107952,COMPLETED,9,12,12-31-2018,19815
59107953,COMPLETED,5,6,01-01-2019,20769
59107954,COMPLETED,8,1,01-17-2019,21875
59107955,COMPLETED,6,10,07-15-2020,20717
59107957,COMPLETED,9,12,02-06-2018,20447
59107958,COMPLETED,9,13,02-27-2018,21128
59107959,COMPLETED,7,2,02-06-2018,20494
59107960,COMPLETED,3,12,01-02-2018,21708
59107961,COMPLETED,6,12,,11933
59107963,COMPLETED,7,1,04-29-2018,459
59107964,COMPLETED,7,1,05-02-2018,460
59107965,COMPLETED,6,1,,461
59107966,COMPLETED,7,1,,462
59107967,COMPLETED,7,1,07-28-2018,463
59107968,COMPLETED,9,1,,464
59107969,COMPLETED,7,1,08-04-2018,465
59107970,COMPLETED,7,1,03-04-2020,2107
59107972,COMPLETED,6,1,04-29-2018,2385
59107973,COMPLETED,6,1,07-28-2018,2490
59107974,COMPLETED,6,1,07-29-2018,2020
59107975,COMPLETED,7,1,,1237
59107976,COMPLETED,6,1,04-29-2018,466
59107977,COMPLETED,7,1,05-01-2018,1094
59107978,COMPLETED,5,1,,2386
59107979,COMPLETED,10,12,11-25-2017,21087
59107980,COMPLETED,7,12,07-03-2019,97668
59107981,COMPLETED,7,6,01-07-2018,21416
59107982,COMPLETED,7,1,01-07-2018,21386
59107983,COMPLETED,9,13,09-06-2018,2966
59107984,COMPLETED,8,12,09-17-2018,5341
59107985,COMPLETED,7,1,09-17-2018,6007
59107986,COMPLETED,7,13,02-10-2020,21647
