media_id,status,score,progress,completedAt
102883,COMPLETED,8,39,09-23-2019
20474,COMPLETED,9,24,04-18-2019
20799,COMPLETED,9,24,04-22-2019
21291,COMPLETED,5,12,09-17-2020
12413,COMPLETED,7,12,04-24-2021
20951,COMPLETED,6,12,11-09-2019
98443,COMPLETED,6,12,07-04-2019
5680,COMPLETED,10,13,03-13-2018
9617,COMPLETED,9,1,09-14-2020
7791,COMPLETED,10,26,05-18-2018
9734,COMPLETED,9,1,
9203,COMPLETED,5,9,03-15-2018
6862,COMPLETED,9,1,
7017,COMPLETED,5,7,03-15-2018
101921,COMPLETED,8,12,04-06-2019
8525,COMPLETED,6,12,10-29-2020
10372,COMPLETED,5,13,05-13-2022
20553,COMPLETED,4,12,10-17-2020
667,COMPLETED,6,12,04-27-2019
6594,COMPLETED,10,12,09-13-2020
20727,COMPLETED,6,12,01-09-2018
97886,COMPLETED,7,12,02-12-2018
33,COMPLETED,9,25,12-05-2017
18679,COMPLETED,7,24,11-25-2017
21519,COMPLETED,9,1,12-29-2018
99750,COMPLETED,9,1,06-03-2019
20623,COMPLETED,9,24,
21421,COMPLETED,7,12,10-08-2019
21776,COMPLETED,8,13,
107717,COMPLETED,7,12,10-28-2021
98580,COMPLETED,8,1,
20954,COMPLETED,9,1,
98385,COMPLETED,8,12,01-21-2018
11887,COMPLETED,7,13,03-26-2019
21457,COMPLETED,8,12,03-20-2019
21202,COMPLETED,10,10,11-25-2017
21699,COMPLETED,10,10,11-25-2017
97996,COMPLETED,7,1,01-07-2018
21574,COMPLETED,8,1,
102976,COMPLETED,9,1,04-09-2020
98506,COMPLETED,7,12,01-12-2020
21196,COMPLETED,7,12,
98449,COMPLETED,5,12,04-07-2019
21701,COMPLETED,7,12,11-11-2019
10893,COMPLETED,6,1,02-13-2018
19703,COMPLETED,7,10,02-17-2018
1887,COMPLETED,5,24,10-10-2019
17247,COMPLETED,5,12,03-13-2019
97986,COMPLETED,10,13,01-16-2018
9756,COMPLETED,8,12,05-15-2022
100715,COMPLETED,7,12,01-05-2020
98436,COMPLETED,9,24,04-08-2018
21688,COMPLETED,8,3,02-03-2018
14833,COMPLETED,7,12,08-08-2020
100298,COMPLETED,8,13,12-30-2018
99390,COMPLETED,8,12,
10620,COMPLETED,7,26,07-01-2020
98439,COMPLETED,7,12,07-30-2019
21507,COMPLETED,8,12,01-17-2018
101338,COMPLETED,10,13,04-04-2019
17074,COMPLETED,8,26,01-12-2021
164,COMPLETED,8,1,04-22-2019
8917,COMPLETED,5,26,04-22-2020
14817,COMPLETED,7,1,
457,COMPLETED,9,26,01-04-2019
20526,COMPLETED,9,1,01-10-2019
20595,COMPLETED,9,10,01-13-2019
20751,COMPLETED,9,10,01-06-2019
20752,COMPLETED,8,1,01-13-2019
21051,COMPLETED,7,13,10-19-2019
20,COMPLETED,7,220,11-30-2019
597,COMPLETED,7,1,05-05-2018
99939,COMPLETED,5,1,03-23-2019
30,COMPLETED,7,26,11-24-2018
32,COMPLETED,7,1,11-24-2018
99726,COMPLETED,7,10,02-28-2018
100684,COMPLETED,6,1,02-28-2018
1210,COMPLETED,8,24,11-25-2017
11597,COMPLETED,8,11,10-22-2020
19815,COMPLETED,9,12,12-31-2018
20769,COMPLETED,5,6,01-01-2019
21875,COMPLETED,8,1,01-17-2019
20717,COMPLETED,6,10,07-15-2020
20447,COMPLETED,9,12,02-06-2018
21128,COMPLETED,9,13,02-27-2018
20494,COMPLETED,7,2,02-06-2018
21708,COMPLETED,3,12,01-02-2018
11933,COMPLETED,6,12,
459,COMPLETED,7,1,04-29-2018
460,COMPLETED,7,1,05-02-2018
461,COMPLETED,6,1,
462,COMPLETED,7,1,
463,COMPLETED,7,1,07-28-2018
464,COMPLETED,9,1,
465,COMPLETED,7,1,08-04-2018
2107,COMPLETED,7,1,03-04-2020
2385,COMPLETED,6,1,04-29-2018
2490,COMPLETED,6,1,07-28-2018
2020,COMPLETED,6,1,07-29-2018
1237,COMPLETED,7,1,
466,COMPLETED,6,1,04-29-2018
1094,COMPLETED,7,1,05-01-2018
2386,COMPLETED,5,1,
21087,COMPLETED,10,12,11-25-2017
97668,COMPLETED,7,12,07-03-2019
21416,COMPLETED,7,6,01-07-2018
21386,COMPLETED,7,1,01-07-2018
2966,COMPLETED,9,13,09-06-2018
5341,COMPLETED,8,12,09-17-2018
6007,COMPLETED,7,1,09-17-2018
21647,COMPLETED,7,13,02-10-2020
97932,COMPLETED,3,12,08-13-2019
19369,COMPLETED,6,12,03-01-2019
20832,COMPLETED,5,13,01-08-2018
98437,COMPLETED,6,13,04-08-2018
101474,COMPLETED,7,13,11-13-2018
21305,COMPLETED,3,8,04-22-2020
101083,COMPLETED,5,13,
21745,COMPLETED,8,7,07-26-2021
20607,COMPLETED,8,11,01-13-2018
21732,COMPLETED,8,5,07-09-2020
329,COMPLETED,7,26,02-05-2018
98549,COMPLETED,5,12,
20807,COMPLETED,8,12,11-25-2017
21565,COMPLETED,7,1,03-27-2018
13601,COMPLETED,8,22,11-04-2020
19315,COMPLETED,1,12,
21355,COMPLETED,8,25,11-01-2019
6675,COMPLETED,8,1,
21517,COMPLETED,3,12,03-03-2018
20955,COMPLETED,5,12,04-03-2019
21700,COMPLETED,5,12,11-25-2017
87539,COMPLETED,7,2,
20556,COMPLETED,6,11,08-07-2019
97903,COMPLETED,7,25,11-08-2019
13759,COMPLETED,7,24,05-28-2020
205,COMPLETED,8,26,11-25-2017
21334,COMPLETED,6,12,08-04-2020
21201,COMPLETED,4,12,03-12-2018
101291,COMPLETED,8,13,02-04-2019
199,COMPLETED,9,1,04-16-2018
21269,COMPLETED,5,12,07-04-2020
20590,COMPLETED,7,12,11-25-2017
98629,COMPLETED,6,2,04-03-2018
21184,COMPLETED,7,24,11-25-2017
16498,COMPLETED,8,25,11-25-2017
18397,COMPLETED,6,3,02-05-2018
20958,COMPLETED,8,12,
99147,COMPLETED,7,12,10-16-2018
104578,COMPLETED,8,10,
99634,COMPLETED,7,3,05-02-2019
13125,COMPLETED,9,25,04-27-2022
20923,COMPLETED,9,24,08-11-2018
21518,COMPLETED,8,13,01-29-2018
99255,COMPLETED,8,12,06-19-2019
100773,COMPLETED,9,12,06-23-2019
99420,COMPLETED,6,12,
21838,COMPLETED,7,12,01-12-2018
19775,COMPLETED,5,12,11-18-2018
20762,COMPLETED,6,12,11-18-2018
99426,COMPLETED,10,13,11-30-2018
3588,COMPLETED,7,51,01-23-2018
20547,COMPLETED,6,12,01-30-2018
20057,COMPLETED,9,13,11-25-2017
20666,COMPLETED,8,13,11-25-2017
99424,COMPLETED,6,12,12-28-2018
9253,COMPLETED,10,24,
21127,COMPLETED,8,23,11-11-2018
11577,COMPLETED,8,1,12-29-2017
21624,COMPLETED,8,1,12-29-2017
10863,COMPLETED,8,1,12-28-2017
18277,COMPLETED,5,24,04-21-2022
25,COMPLETED,7,24,05-04-2020
