score,id,format,season,season_year,episodes,genres,source,tags,studios
8,164,MOVIE,SUMMER,1997,1,"[""ACTION"", ""ADVENTURE"", ""DRAMA"", ""FANTASY""]",ORIGINAL,"[""ENVIRONMENTAL"", ""MYTHOLOGY"", ""WAR"", ""ANIMALS"", ""GODS"", ""FEMALE PROTAGONIST"", ""TOMBOY"", ""YOUKAI"", ""RURAL"", ""DISABILITY"", ""REVENGE"", ""HISTORICAL"", ""ARCHERY"", ""GUNS"", ""MALE PROTAGONIST"", ""GORE"", ""BODY HORROR"", ""TRAVEL"", ""OUTDOOR""]","[""STUDIO GHIBLI""]"
9,199,MOVIE,SUMMER,2001,1,"[""ADVENTURE"", ""DRAMA"", ""FANTASY"", ""ROMANCE"", ""SUPERNATURAL""]",ORIGINAL,"[""COMING OF AGE"", ""FEMALE PROTAGONIST"", ""YOUKAI"", ""URBAN FANTASY"", ""MAGIC"", ""MYTHOLOGY"", ""ISEKAI"", ""PRIMARILY CHILD CAST"", ""PHILOSOPHY"", ""GODS"", ""WITCH"", ""WORK"", ""MEMORY MANIPULATION"", ""KIDS"", ""DRAGONS"", ""TRAINS"", ""TRAVEL"", ""TWINS""]","[""STUDIO GHIBLI""]"
8,205,TV,SPRING,2004,26,"[""ACTION"", ""ADVENTURE"", ""COMEDY""]",ORIGINAL,"[""SWORDPLAY"", ""SAMURAI"", ""RURAL"", ""TRAVEL"", ""HISTORICAL"", ""ANACHRONISM"", ""PRIMARILY ADULT CAST"", ""MARTIAL ARTS"", ""EPISODIC"", ""MALE PROTAGONIST"", ""FEMALE PROTAGONIST"", ""TANNED SKIN"", ""KUUDERE"", ""YAKUZA"", ""PROSTITUTION"", ""POLITICS"", ""NUDITY"", ""NINJA"", ""DRUGS"", ""RELIGION"", ""ZOMBIE"", ""LANGUAGE BARRIER"", ""BASEBALL"", ""ASSASSINS"", ""CROSSDRESSING"", ""ANTI-HERO""]","[""MANGLOBE""]"
8,223,TV,WINTER,1986,153,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""FANTASY"", ""SUPERNATURAL""]",MANGA,"[""SHOUNEN"", ""MARTIAL ARTS"", ""SUPER POWER"", ""MALE PROTAGONIST"", ""COMING OF AGE"", ""TRAVEL"", ""ALIENS"", ""DRAGONS"", ""ANACHRONISM"", ""NUDITY"", ""TIME SKIP"", ""WUXIA"", ""REVENGE"", ""SHAPESHIFTING"", ""DEMONS"", ""ROBOTS"", ""ADOPTION"", ""MILITARY"", ""KAIJU"", ""DINOSAURS"", ""DISSOCIATIVE IDENTITIES"", ""NINJA"", ""TANNED SKIN""]","[""TOEI ANIMATION""]"
6,225,TV,WINTER,1996,64,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""SCI-FI""]",MANGA,"[""ALIENS"", ""AGE REGRESSION"", ""HENSHIN"", ""SPACE"", ""DRAGONS"", ""SUPER POWER"", ""MARTIAL ARTS"", ""SHOUNEN"", ""MALE PROTAGONIST"", ""SUPER ROBOT"", ""MAGIC"", ""ARTIFICIAL INTELLIGENCE""]","[""TOEI ANIMATION""]"
6,226,TV,SUMMER,2004,13,"[""ACTION"", ""DRAMA"", ""ECCHI"", ""HORROR"", ""PSYCHOLOGICAL"", ""ROMANCE"", ""SUPERNATURAL""]",MANGA,"[""GORE"", ""AMNESIA"", ""FUGITIVE"", ""SUPER POWER"", ""SEINEN"", ""TRAGEDY"", ""DISSOCIATIVE IDENTITIES"", ""PHILOSOPHY"", ""FEMALE PROTAGONIST"", ""NUDITY"", ""YANDERE"", ""REVENGE"", ""BODY HORROR"", ""PRIMARILY FEMALE CAST"", ""LOVE TRIANGLE"", ""CONSPIRACY"", ""BULLYING"", ""HETEROSEXUAL"", ""RURAL"", ""MALE PROTAGONIST"", ""MILITARY"", ""FAMILY LIFE"", ""KEMONOMIMI"", ""RAPE"", ""FEMALE HAREM"", ""PRIMARILY TEEN CAST"", ""MONSTER GIRL""]","[""ARMS""]"
8,227,OVA,SPRING,2000,6,"[""ACTION"", ""COMEDY"", ""MECHA"", ""SCI-FI""]",ORIGINAL,"[""COMING OF AGE"", ""SURREAL COMEDY"", ""MALE PROTAGONIST"", ""META"", ""AGE GAP"", ""PHILOSOPHY"", ""DENPA"", ""ROBOTS"", ""LOVE TRIANGLE"", ""PRIMARILY TEEN CAST"", ""ALIENS"", ""PARODY"", ""GODS"", ""MOPEDS"", ""REAL ROBOT"", ""EPISODIC"", ""SUPER ROBOT"", ""BODY HORROR"", ""NUDITY"", ""BASEBALL"", ""CGI"", ""VORE"", ""AMNESIA"", ""HETEROSEXUAL""]","[""GAINAX"", ""PRODUCTION I.G""]"
8,239,TV,FALL,2004,24,"[""DRAMA"", ""MYSTERY"", ""SCI-FI"", ""SUPERNATURAL"", ""THRILLER""]",OTHER,"[""REVENGE"", ""CLASSIC LITERATURE"", ""MALE PROTAGONIST"", ""TRAGEDY"", ""URBAN"", ""URBAN FANTASY"", ""HETEROSEXUAL"", ""ANTI-HERO"", ""LOVE TRIANGLE"", ""FOREIGN"", ""SPACE"", ""SPACE OPERA"", ""LGBTQ+ THEMES"", ""CGI"", ""ANACHRONISM"", ""VAMPIRE"", ""BISEXUAL"", ""ALIENS"", ""INCEST"", ""DISSOCIATIVE IDENTITIES"", ""CROSSDRESSING"", ""TANNED SKIN"", ""MILITARY""]","[""GONZO""]"
6,270,TV,FALL,2001,13,"[""ACTION"", ""HORROR"", ""SUPERNATURAL""]",MANGA,"[""VAMPIRE"", ""NOIR"", ""GORE"", ""SUPER POWER"", ""MILITARY"", ""GUNS"", ""SEINEN"", ""EPISODIC"", ""CANNIBALISM"", ""BUTLER"", ""ANTI-HERO"", ""FOREIGN"", ""URBAN"", ""URBAN FANTASY""]","[""GONZO""]"
7,329,TV,FALL,2003,26,"[""DRAMA"", ""ROMANCE"", ""SCI-FI"", ""SLICE OF LIFE""]",MANGA,"[""SPACE"", ""PRIMARILY ADULT CAST"", ""WORK"", ""SEINEN"", ""TRAGEDY"", ""PHILOSOPHY"", ""POLITICS"", ""TANNED SKIN"", ""ENSEMBLE CAST"", ""TERRORISM"", ""HETEROSEXUAL"", ""EPISODIC""]","[""SUNRISE""]"
